"CompanyName";"Location";"Datum";"Price";"Rocket";"StatusRocket";"StatusMission"
CASC;LC-3, Xichang Satellite Launch Center, China;Sat Apr 20, 2024 23:45 UTC; $29.75 million;Yaogan 42-02; Active;Success
SpaceX;SLC-40, Cape Canaveral SFS, Florida, USA;Thu Apr 18, 2024 22:40 UTC; $67.0 million;Starlink Group 6-52; Active;Success
SpaceX;LC-39A, Kennedy Space Center, Florida, USA;Wed Apr 17, 2024 21:26 UTC; $67.0 million;Starlink Group 6-51; Active;Success
CASC;Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China;Mon Apr 15, 2024 04:12 UTC; $29.75 million;SuperView Neo 3-01; Active;Success
SpaceX;SLC-40, Cape Canaveral SFS, Florida, USA;Sat Apr 13, 2024 01:40 UTC; $67.0 million;Starlink Group 6-49; Active;Success
SpaceX;SLC-4E, Vandenberg SFB, California, USA;Thu Apr 11, 2024 14:25 UTC; $67.0 million;USSF-62/WSF-M 1; Active;Success
Roscosmos;Site 1A, Vostochny Cosmodrome, Russia;Thu Apr 11, 2024 09:00 UTC; $100.0 million;Vostochny Angara Test Flight; Active;Success
SpaceX;SLC-40, Cape Canaveral SFS, Florida, USA;Wed Apr 10, 2024 05:40 UTC; $67.0 million;Starlink Group 6-48; Active;Success
ULA;SLC-37B, Cape Canaveral SFS, Florida, USA;Tue Apr 09, 2024 16:53 UTC; $350.0 million;NROL-70; Retired;Success
SpaceX;LC-39A, Kennedy Space Center, Florida, USA;Sun Apr 07, 2024 23:16 UTC; $67.0 million;Bandwagon-1; Active;Success
SpaceX;SLC-4E, Vandenberg SFB, California, USA;Sun Apr 07, 2024 02:25 UTC; $67.0 million;Starlink Group 8-1; Active;Success
SpaceX;SLC-40, Cape Canaveral SFS, Florida, USA;Fri Apr 05, 2024 09:12 UTC; $67.0 million;Starlink Group 6-47; Active;Success
CASC;LC-3, Xichang Satellite Launch Center, China;Tue Apr 02, 2024 22:56 UTC; $29.75 million;Yaogan 42-01; Active;Success
SpaceX;SLC-4E, Vandenberg SFB, California, USA;Tue Apr 02, 2024 02:30 UTC; $67.0 million;Starlink Group 7-18; Active;Success
Roscosmos;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Sun Mar 31, 2024 09:36 UTC; $20.0 million;Resurs-P No.4; Active;Success
SpaceX;SLC-40, Cape Canaveral SFS, Florida, USA;Sun Mar 31, 2024 01:30 UTC; $67.0 million;Starlink Group 6-45; Active;Success
SpaceX;LC-39A, Kennedy Space Center, Florida, USA;Sat Mar 30, 2024 21:52 UTC; $67.0 million;Eutelsat 36D; Active;Success
CASC;LC-9A, Taiyuan Satellite Launch Center, China;Tue Mar 26, 2024 22:51 UTC;None;Yunhai 3-02; Active;Success
SpaceX;SLC-40, Cape Canaveral SFS, Florida, USA;Mon Mar 25, 2024 23:42 UTC; $67.0 million;Starlink Group 6-46; Active;Success
SpaceX;LC-39A, Kennedy Space Center, Florida, USA;Sun Mar 24, 2024 03:09 UTC; $67.0 million;Starlink Group 6-42; Active;Success
Roscosmos;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Sat Mar 23, 2024 12:36 UTC; $17.42 million;Soyuz MS-25; Active;Success
SpaceX;SLC-40, Cape Canaveral SFS, Florida, USA;Thu Mar 21, 2024 20:55 UTC; $67.0 million;CRS SpX-30; Active;Success
Rocket Lab;Rocket Lab LC-2 (LP-0C), Wallops Flight Facility, Virginia, USA;Thu Mar 21, 2024 07:25 UTC; $7.5 million;Live and Let Fly (USA 352) (NROL-123); Active;Success
CASC;Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China;Thu Mar 21, 2024 05:27 UTC; $30.0 million;Yunhai-2 Group 02; Active;Success
CASC;LC-201, Wenchang Space Launch Site, China;Wed Mar 20, 2024 00:31 UTC; $27.0 million;Queqiao-2; Active;Success
SpaceX;SLC-4E, Vandenberg SFB, California, USA;Tue Mar 19, 2024 02:28 UTC; $67.0 million;Starlink Group 7-16, USA 350, and USA 351; Active;Success
SpaceX;LC-39A, Kennedy Space Center, Florida, USA;Sat Mar 16, 2024 00:21 UTC; $67.0 million;Starlink Group 6-44; Active;Success
SpaceX;Orbital Launch Pad A, Starbase, Texas, USA;Thu Mar 14, 2024 13:25 UTC;None;Starship Flight 3; Active;Success
CASC;LC-3, Xichang Satellite Launch Center, China;Wed Mar 13, 2024 12:51 UTC; $30.8 million;DRO-A/B; Active;Partial Failure
Space One;Space One Launch Pad, Space Port Kii, Japan;Wed Mar 13, 2024 02:01 UTC; $9.0 million;Maiden Flight; Active;Failure
Rocket Lab;Rocket Lab LC-1B, Māhia Peninsula, New Zealand;Tue Mar 12, 2024 15:03 UTC; $7.5 million;Owl Night Long; Active;Success
SpaceX;SLC-4E, Vandenberg SFB, California, USA;Mon Mar 11, 2024 04:09 UTC; $67.0 million;Starlink Group 7-17; Active;Success
SpaceX;SLC-40, Cape Canaveral SFS, Florida, USA;Sun Mar 10, 2024 23:05 UTC; $67.0 million;Starlink Group 6-43; Active;Success
SpaceX;SLC-40, Cape Canaveral SFS, Florida, USA;Mon Mar 04, 2024 23:56 UTC; $67.0 million;Starlink Group 6-41; Active;Success
SpaceX;SLC-4E, Vandenberg SFB, California, USA;Mon Mar 04, 2024 22:05 UTC; $67.0 million;Transporter 10; Active;Success
SpaceX;LC-39A, Kennedy Space Center, Florida, USA;Mon Mar 04, 2024 03:53 UTC; $67.0 million;SpaceX Crew-8; Active;Success
SpaceX;SLC-40, Cape Canaveral SFS, Florida, USA;Thu Feb 29, 2024 15:30 UTC; $67.0 million;Starlink Group 6-40; Active;Success
CASC;LC-2, Xichang Satellite Launch Center, China;Thu Feb 29, 2024 13:03 UTC; $29.15 million;WHG-01; Active;Success
Roscosmos;Site 1S, Vostochny Cosmodrome, Russia;Thu Feb 29, 2024 05:43 UTC; $25.0 million;Meteor-M n°2-4 and others; Active;Success
SpaceX;SLC-40, Cape Canaveral SFS, Florida, USA;Sun Feb 25, 2024 22:06 UTC; $67.0 million;Starlink Group 6-39; Active;Success
CASC;LC-101, Wenchang Space Launch Site, China;Fri Feb 23, 2024 11:30 UTC;None;TJSW-11; Active;Success
SpaceX;SLC-4E, Vandenberg SFB, California, USA;Fri Feb 23, 2024 04:11 UTC; $67.0 million;Starlink Group 7-15; Active;Success
SpaceX;SLC-40, Cape Canaveral SFS, Florida, USA;Tue Feb 20, 2024 20:11 UTC; $67.0 million;HTS-113BT (Merah Putih 2); Active;Success
Rocket Lab;Rocket Lab LC-1B, Māhia Peninsula, New Zealand;Sun Feb 18, 2024 14:52 UTC; $7.5 million;On Closer Inspection; Active;Success
ISRO;Second Launch Pad, Satish Dhawan Space Centre, India;Sat Feb 17, 2024 12:05 UTC; $47.0 million;INSAT-3DS; Active;Success
MHI;LA-Y2, Tanegashima Space Center, Japan;Sat Feb 17, 2024 00:22 UTC; $50.0 million;VEP 4, CE-SAT-1E & TIRSAT; Active;Success
SpaceX;SLC-4E, Vandenberg SFB, California, USA;Thu Feb 15, 2024 21:34 UTC; $67.0 million;Starlink Group 7-14; Active;Success
SpaceX;LC-39A, Kennedy Space Center, Florida, USA;Thu Feb 15, 2024 06:05 UTC; $67.0 million;Nova C (IM-1); Active;Success
Roscosmos;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Thu Feb 15, 2024 03:25 UTC; $17.42 million;Progress MS-26; Active;Success
SpaceX;SLC-40, Cape Canaveral SFS, Florida, USA;Wed Feb 14, 2024 22:30 UTC; $67.0 million;USSF-124; Active;Success
SpaceX;SLC-4E, Vandenberg SFB, California, USA;Sat Feb 10, 2024 00:34 UTC; $67.0 million;Starlink Group 7-13; Active;Success
VKS RF;Site 43/4, Plesetsk Cosmodrome, Russia;Fri Feb 09, 2024 07:03 UTC;None;Cosmos 2575; Active;Success
SpaceX;SLC-40, Cape Canaveral SFS, Florida, USA;Thu Feb 08, 2024 06:33 UTC; $67.0 million;PACE; Active;Success
CASC;Bo Run Jiu Zhou Barge (Area 2), China Coastal Waters;Sat Feb 03, 2024 03:06 UTC;None;9 satellites; Active;Success
CASC;LC-3, Xichang Satellite Launch Center, China;Fri Feb 02, 2024 23:37 UTC; $30.8 million;Geely Constellation Group 02; Active;Success
Rocket Lab;Rocket Lab LC-1B, Māhia Peninsula, New Zealand;Wed Jan 31, 2024 06:34 UTC; $7.5 million;Four Of A Kind; Active;Success
SpaceX;SLC-40, Cape Canaveral SFS, Florida, USA;Tue Jan 30, 2024 17:07 UTC; $67.0 million;CRS NG-20; Active;Success
SpaceX;SLC-4E, Vandenberg SFB, California, USA;Mon Jan 29, 2024 05:57 UTC; $67.0 million;Starlink Group 7-12; Active;Success
SpaceX;LC-39A, Kennedy Space Center, Florida, USA;Mon Jan 29, 2024 01:10 UTC; $67.0 million;Starlink Group 6-38; Active;Success
ISA;Imam Khomeini Spaceport, Semnan Space Center, Iran;Sun Jan 28, 2024 00:04 UTC;None;Mahda, Keyhan-2 & Hatef-1; Active;Success
Virgin Galactic;VMS Eve, Spaceport America, New Mexico, USA;Fri Jan 26, 2024 17:42 UTC;None;Galactic-06; Active;Success
SpaceX;SLC-4E, Vandenberg SFB, California, USA;Wed Jan 24, 2024 00:35 UTC; $67.0 million;Starlink Group 7-11; Active;Success
CAS Space;Site 130, Jiuquan Satellite Launch Center, China;Tue Jan 23, 2024 04:03 UTC;None;Third Flight; Active;Success
IRGC;Launch Platform, Shahrud Missile Test Site, Iran;Sat Jan 20, 2024 06:28 UTC;None;Soraya; Active;Success
SpaceX;LC-39A, Kennedy Space Center, Florida, USA;Thu Jan 18, 2024 21:49 UTC; $67.0 million;Axiom Mission 3 (AX-3); Active;Success
CASC;LC-201, Wenchang Space Launch Site, China;Wed Jan 17, 2024 14:27 UTC;None;Tianzhou 7; Active;Success
SpaceX;SLC-40, Cape Canaveral SFS, Florida, USA;Mon Jan 15, 2024 01:52 UTC; $67.0 million;Starlink Group 6-37; Active;Success
SpaceX;SLC-4E, Vandenberg SFB, California, USA;Sun Jan 14, 2024 08:59 UTC; $67.0 million;Starlink Group 7-10; Active;Success
MHI;LA-Y1, Tanegashima Space Center, Japan;Fri Jan 12, 2024 04:44 UTC; $90.0 million;IGS-Optical 8; Active;Success
OrienSpace;Haiyang Spaceport, China Coastal Waters;Thu Jan 11, 2024 05:30 UTC; $27.22 million;Maiden flight; Active;Success
ExPace;Site 95A, Jiuquan Satellite Launch Center, China;Thu Jan 11, 2024 03:52 UTC; $5.8 million;Tianxing-1-02; Active;Success
CASC;LC-3, Xichang Satellite Launch Center, China;Tue Jan 09, 2024 07:03 UTC; $30.8 million;Einstein Probe; Active;Success
ULA;SLC-41, Cape Canaveral SFS, Florida, USA;Mon Jan 08, 2024 07:18 UTC;None;Peregrine Mission One; Active;Success
SpaceX;SLC-40, Cape Canaveral SFS, Florida, USA;Sun Jan 07, 2024 22:35 UTC; $67.0 million;Starlink Group 6-35; Active;Success
ExPace;Site 95A, Jiuquan Satellite Launch Center, China;Fri Jan 05, 2024 11:20 UTC; $5.8 million;Tianmu-1 15-18; Active;Success
SpaceX;SLC-40, Cape Canaveral SFS, Florida, USA;Wed Jan 03, 2024 23:04 UTC; $67.0 million;Ovzon-3; Active;Success
SpaceX;SLC-4E, Vandenberg SFB, California, USA;Wed Jan 03, 2024 03:44 UTC; $67.0 million;Starlink Group 7-9; Active;Success
ISRO;First Launch Pad, Satish Dhawan Space Centre, India;Mon Jan 01, 2024 03:40 UTC;None;XPoSat; Active;Success
CASC;Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China;Sat Dec 30, 2023 00:13 UTC; $30.8 million;3 x SatNet test satellites; Active;Success
SpaceX;SLC-40, Cape Canaveral SFS, Florida, USA;Fri Dec 29, 2023 04:01 UTC; $67.0 million;Starlink Group 6-36; Active;Success
SpaceX;LC-39A, Kennedy Space Center, Florida, USA;Fri Dec 29, 2023 01:07 UTC; $97.0 million;USSF-52 (OTV-7); Active;Success
VKS RF;Site 43/4, Plesetsk Cosmodrome, Russia;Wed Dec 27, 2023 07:03 UTC;None;Cosmos 2574; Active;Success
ExPace;Site 95A, Jiuquan Satellite Launch Center, China;Wed Dec 27, 2023 06:50 UTC; $5.8 million;Tianmu-1 19-22; Active;Success
CASC;LC-2, Xichang Satellite Launch Center, China;Tue Dec 26, 2023 03:26 UTC;None;Beidou-3 M25 & M26; Active;Success
CASC;Bo Run Jiu Zhou Barge (Area 1), China Coastal Waters;Mon Dec 25, 2023 22:39 UTC; $5.3 million;Shiyan 24C; Active;Success
ExPace;Site 95A, Jiuquan Satellite Launch Center, China;Mon Dec 25, 2023 01:00 UTC; $5.8 million;Tianmu-1 11-14; Active;Success
SpaceX;SLC-4E, Vandenberg SFB, California, USA;Sun Dec 24, 2023 13:11 UTC; $67.0 million;SARah 2 & 3; Active;Success
SpaceX;SLC-40, Cape Canaveral SFS, Florida, USA;Sat Dec 23, 2023 05:33 UTC; $67.0 million;Starlink Group 6-32; Active;Success
Firefly;SLC-2W, Vandenberg SFB, California, USA;Fri Dec 22, 2023 17:32 UTC; $15.0 million;Fly the Lightning; Active;Partial Failure
VKS RF;Site 43/4, Plesetsk Cosmodrome, Russia;Thu Dec 21, 2023 08:48 UTC; $20.0 million;Cosmos 2573; Active;Success
Blue Origin;Launch Site One, West Texas, Texas, USA;Tue Dec 19, 2023 16:42 UTC;None;NS-24; Active;Success
SpaceX;SLC-40, Cape Canaveral SFS, Florida, USA;Tue Dec 19, 2023 04:01 UTC; $67.0 million;Starlink Group 6-34; Active;Success
